"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","Benchmark Period Mean (intersection)","MeanState","global","scalar","g m-2 d-1","0.00757634","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","Benchmark Period Mean (complement)","MeanState","global","scalar","g m-2 d-1","nan","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","0.00916407","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","Model Period Mean (intersection)","MeanState","global","scalar","g m-2 d-1","0.00992093","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","Model Period Mean (complement)","MeanState","global","scalar","g m-2 d-1","0.00648447","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","Spatial Distribution Score","MeanState","global","score","1","0.794939","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","Phase Shift","MeanState","global","scalar","months","1.11854","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","Seasonal Cycle Score","MeanState","global","score","1","0.845382","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","Bias","MeanState","global","scalar","g m-2 d-1","0.00234458","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","Bias Score","MeanState","global","score","1","0.935994","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","RMSE","MeanState","global","scalar","g m-2 d-1","0.30932","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","RMSE Score","MeanState","global","score","1","0.556357","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","Overall Score","MeanState","global","score","1","0.737806","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLASSIC","Benchmark Period Mean (intersection)","MeanState","global","scalar","g m-2 d-1","2.54609","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLASSIC","Benchmark Period Mean (complement)","MeanState","global","scalar","g m-2 d-1","1.06562","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLASSIC","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","2.64934","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLASSIC","Model Period Mean (intersection)","MeanState","global","scalar","g m-2 d-1","2.64934","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLASSIC","Model Period Mean (complement)","MeanState","global","scalar","g m-2 d-1","nan","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLASSIC","Spatial Distribution Score","MeanState","global","score","1","0.973097","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLASSIC","Phase Shift","MeanState","global","scalar","months","0.767966","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLASSIC","Seasonal Cycle Score","MeanState","global","score","1","0.904856","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLASSIC","Bias","MeanState","global","scalar","g m-2 d-1","0.103252","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLASSIC","Bias Score","MeanState","global","score","1","0.626461","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLASSIC","RMSE","MeanState","global","scalar","g m-2 d-1","0.89734","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLASSIC","RMSE Score","MeanState","global","score","1","0.590815","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLASSIC","Overall Score","MeanState","global","score","1","0.737208","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLM","Benchmark Period Mean (intersection)","MeanState","global","scalar","g m-2 d-1","2.27122","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLM","Benchmark Period Mean (complement)","MeanState","global","scalar","g m-2 d-1","2.80208","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLM","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","2.63307","1.0"
