Variables,CLASSIC,CLM,JSBACH,ORCHIDEE
Gross Primary Production,0.7372084489799587,0.6960878728438328,0.7343239358254074,0.7296089215644882
Net Biome Productivity,0.6211037847016725,0.662874607779844,0.7010701129671935,0.737805877674716
