Experiment,Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data,Weight
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_100pct,Model Period Mean (intersection),MeanState,temperate,scalar,g m-2,1170.29,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_100pct,Benchmark Period Mean (intersection),MeanState,boreal,scalar,g m-2,1192.48,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_100pct,Model Period Mean (intersection),MeanState,boreal,scalar,g m-2,1038.33,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_20pct,Benchmark Period Mean (intersection),MeanState,global,scalar,g m-2,2557.83,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_20pct,Model Period Mean (intersection),MeanState,global,scalar,g m-2,2831.54,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_20pct,Benchmark Period Mean (intersection),MeanState,tropics,scalar,g m-2,4373.37,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_20pct,Model Period Mean (intersection),MeanState,tropics,scalar,g m-2,4831.04,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_20pct,Benchmark Period Mean (intersection),MeanState,subtropics,scalar,g m-2,1636.48,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_20pct,Model Period Mean (intersection),MeanState,subtropics,scalar,g m-2,1758,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_20pct,Benchmark Period Mean (intersection),MeanState,temperate,scalar,g m-2,1041.85,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_20pct,Model Period Mean (intersection),MeanState,temperate,scalar,g m-2,1061.04,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_20pct,Benchmark Period Mean (intersection),MeanState,boreal,scalar,g m-2,1192.48,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_20pct,Model Period Mean (intersection),MeanState,boreal,scalar,g m-2,1360.6,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-20pct,Benchmark Period Mean (intersection),MeanState,global,scalar,g m-2,2557.83,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-20pct,Model Period Mean (intersection),MeanState,global,scalar,g m-2,2622.7,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-20pct,Benchmark Period Mean (intersection),MeanState,tropics,scalar,g m-2,4373.37,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-20pct,Model Period Mean (intersection),MeanState,tropics,scalar,g m-2,4457.06,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-20pct,Benchmark Period Mean (intersection),MeanState,subtropics,scalar,g m-2,1636.48,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-20pct,Model Period Mean (intersection),MeanState,subtropics,scalar,g m-2,1680.85,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-20pct,Benchmark Period Mean (intersection),MeanState,temperate,scalar,g m-2,1041.85,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-20pct,Model Period Mean (intersection),MeanState,temperate,scalar,g m-2,1070.33,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-20pct,Benchmark Period Mean (intersection),MeanState,boreal,scalar,g m-2,1192.48,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-20pct,Model Period Mean (intersection),MeanState,boreal,scalar,g m-2,1294.17,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_60pct,Benchmark Period Mean (intersection),MeanState,global,scalar,g m-2,2557.83,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_60pct,Model Period Mean (intersection),MeanState,global,scalar,g m-2,2942.66,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_60pct,Benchmark Period Mean (intersection),MeanState,tropics,scalar,g m-2,4373.37,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_60pct,Model Period Mean (intersection),MeanState,tropics,scalar,g m-2,5026.12,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_60pct,Benchmark Period Mean (intersection),MeanState,subtropics,scalar,g m-2,1636.48,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_60pct,Model Period Mean (intersection),MeanState,subtropics,scalar,g m-2,1920.99,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_60pct,Benchmark Period Mean (intersection),MeanState,temperate,scalar,g m-2,1041.85,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_60pct,Model Period Mean (intersection),MeanState,temperate,scalar,g m-2,1096.73,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_60pct,Benchmark Period Mean (intersection),MeanState,boreal,scalar,g m-2,1192.48,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_60pct,Model Period Mean (intersection),MeanState,boreal,scalar,g m-2,1335.3,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-60pct,Benchmark Period Mean (intersection),MeanState,global,scalar,g m-2,2557.83,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-60pct,Model Period Mean (intersection),MeanState,global,scalar,g m-2,2631.32,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-60pct,Benchmark Period Mean (intersection),MeanState,tropics,scalar,g m-2,4373.37,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-60pct,Model Period Mean (intersection),MeanState,tropics,scalar,g m-2,3929.45,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-60pct,Benchmark Period Mean (intersection),MeanState,subtropics,scalar,g m-2,1636.48,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-60pct,Model Period Mean (intersection),MeanState,subtropics,scalar,g m-2,2253.95,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-60pct,Benchmark Period Mean (intersection),MeanState,temperate,scalar,g m-2,1041.85,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-60pct,Model Period Mean (intersection),MeanState,temperate,scalar,g m-2,1208.99,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-60pct,Benchmark Period Mean (intersection),MeanState,boreal,scalar,g m-2,1192.48,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-60pct,Model Period Mean (intersection),MeanState,boreal,scalar,g m-2,1287.51,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_40pct,Benchmark Period Mean (intersection),MeanState,global,scalar,g m-2,2557.83,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_40pct,Model Period Mean (intersection),MeanState,global,scalar,g m-2,2955.91,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_40pct,Benchmark Period Mean (intersection),MeanState,tropics,scalar,g m-2,4373.37,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_40pct,Model Period Mean (intersection),MeanState,tropics,scalar,g m-2,5089.56,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_40pct,Benchmark Period Mean (intersection),MeanState,subtropics,scalar,g m-2,1636.48,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_40pct,Model Period Mean (intersection),MeanState,subtropics,scalar,g m-2,1876.52,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_40pct,Benchmark Period Mean (intersection),MeanState,temperate,scalar,g m-2,1041.85,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_40pct,Model Period Mean (intersection),MeanState,temperate,scalar,g m-2,1074.04,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_40pct,Benchmark Period Mean (intersection),MeanState,boreal,scalar,g m-2,1192.48,1
