balance,count,mean,std,mean_abs,mse,weighted_mean_from_json
water_balance,128543800,0.9069693668566168,27.325385377934502,15.92838445319364,747.4992794850584,15.92838445205067
npp_balance,140229600,6.03792315206924e-14,1.407242648487071e-12,8.223077472659876e-13,1.9839775233199398e-24,8.223077472468998e-13
nbp_balance,140229600,4.423425746007876e-08,1.332527837484723e-07,4.435574414873986e-08,1.9712973909761705e-14,4.435574414444663e-08
nbp_vs_delta_ctotal_monthly,128543800,0.0005505070345599606,0.015286522463637486,0.010192193400879294,0.00023398082702639217,
carbon_partition_december,11685800,0.0023665619490768563,0.012134095494038861,0.00795480674755648,0.00015283688891727277,0.007954806747081565

overall_mean_penalty_weighted,15.945325801625886
total_series_is_true_per_window_total,False
